repository_name,owner_username,stars,repository_url
scikit-learn,scikit-learn,51500,https://github.com/scikit-learn/scikit-learn
superset,apache,48300,https://github.com/apache/superset
pandas,pandas-dev,35300,https://github.com/pandas-dev/pandas
metabase,metabase,29800,https://github.com/metabase/metabase
AI-Expert-Roadmap,AMAI-GmbH,21500,https://github.com/AMAI-GmbH/AI-Expert-Roadmap
streamlit,streamlit,20700,https://github.com/streamlit/streamlit
CyberChef,gchq,18800,https://github.com/gchq/CyberChef
Data-Science-For-Beginners,microsoft,16100,https://github.com/microsoft/Data-Science-For-Beginners
goaccess,allinurl,15200,https://github.com/allinurl/goaccess
best-of-ml-python,ml-tooling,11700,https://github.com/ml-tooling/best-of-ml-python
pandas-profiling,ydataai,9600,https://github.com/ydataai/pandas-profiling
gradio,gradio-app,9300,https://github.com/gradio-app/gradio
OpenRefine,OpenRefine,9000,https://github.com/OpenRefine/OpenRefine
mlcourse.ai,Yorko,8400,https://github.com/Yorko/mlcourse.ai
pandas_exercises,guipsamora,8200,https://github.com/guipsamora/pandas_exercises
airbyte,airbytehq,8100,https://github.com/airbytehq/airbyte
statsmodels,statsmodels,7800,https://github.com/statsmodels/statsmodels
dataease,dataease,7500,https://github.com/dataease/dataease
pyod,yzhao062,6200,https://github.com/yzhao062/pyod
imbalanced-learn,scikit-learn-contrib,6100,https://github.com/scikit-learn-contrib/imbalanced-learn
