repository_name,owner_username,stars,repository_url
tensorflow,tensorflow,168000,https://github.com/tensorflow/tensorflow
transformers,huggingface,70900,https://github.com/huggingface/transformers
pytorch,pytorch,59100,https://github.com/pytorch/pytorch
keras,keras-team,56200,https://github.com/keras-team/keras
scikit-learn,scikit-learn,51500,https://github.com/scikit-learn/scikit-learn
tesseract,tesseract-ocr,46800,https://github.com/tesseract-ocr/tesseract
face_recognition,ageitgey,45900,https://github.com/ageitgey/face_recognition
cs-video-courses,Developer-Y,43200,https://github.com/Developer-Y/cs-video-courses
faceswap,deepfakes,42300,https://github.com/deepfakes/faceswap
TensorFlow-Examples,aymericdamien,42200,https://github.com/aymericdamien/TensorFlow-Examples
ML-For-Beginners,microsoft,42200,https://github.com/microsoft/ML-For-Beginners
awesome-scalability,binhnguyennus,40900,https://github.com/binhnguyennus/awesome-scalability
julia,JuliaLang,40500,https://github.com/JuliaLang/julia
100-Days-Of-ML-Code,Avik-Jain,38400,https://github.com/Avik-Jain/100-Days-Of-ML-Code
d2l-zh,d2l-ai,35200,https://github.com/d2l-ai/d2l-zh
DeepFaceLab,iperov,35100,https://github.com/iperov/DeepFaceLab
caffe,BVLC,32900,https://github.com/BVLC/caffe
yolov5,ultralytics,31100,https://github.com/ultralytics/yolov5
Made-With-ML,GokuMohandas,31000,https://github.com/GokuMohandas/Made-With-ML
machine-learning-for-software-engineers,ZuzooVn,26200,https://github.com/ZuzooVn/machine-learning-for-software-engineers
